id;major;semester;subject;description;is_lab;units;lab_type;shift
1;55;1;IF61A;INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO;0;2;0;N
2;55;1;IF61B;ALGORITMOS;0;3;0;N
3;55;1;IF61C;LOGICA PARA COMPUTAÇÃO;0;2;0;N
4;55;2;IF62A;TECNICAS DE PROGRAMAÇÃO;0;2;0;N
5;55;3;IF63A;ESTRUTURA DE DADOS;0;1;0;N
6;55;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;0;2;0;N
7;55;4;IF64A;BANCO DE DADOS 1;0;2;0;N
8;55;4;IF64B;ANALISE DE ALGORITMOS;0;2;0;N
9;55;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;0;3;0;N
10;55;5;IF65B;BANCO DE DADOS 2;0;2;0;N
11;55;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;0;2;0;N
12;55;5;IF65D;ARQUITETURA DE COMPUTADORES;0;2;0;N
13;55;6;IF66A;COMPILADORES;0;2;0;N
14;55;6;IF66B;ENGENHARIA DE SOFTWARE;0;2;0;N
15;55;6;IF66C;SISTEMAS OPERACIONAIS;0;2;0;N
16;55;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;0;2;0;N
17;55;7;IF67B;INTELIGENCIA ARTIFICIAL;0;2;0;N
18;55;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;0;2;0;N
19;55;7;IF67D;REDES DE COMPUTADORES;0;2;0;N
20;55;8;IF68B;PROGRAMAÇÃO PARA WEB;0;2;0;N
21;55;8;IF68C;SISTEMAS DISTRIBUIDOS;0;2;0;N
22;55;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;0;2;0;N
23;55;8;IF69I;PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS;0;2;0;N
31;55;1;IF61B;ALGORITMOS;1;3;1;N
32;55;1;IF61C;LOGICA PARA COMPUTAÇÃO;1;2;1;N
33;55;2;IF62A;TECNICAS DE PROGRAMAÇÃO;1;2;1;N
34;55;3;IF63A;ESTRUTURA DE DADOS;1;2;1;N
35;55;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;1;2;1;N
36;55;4;IF64A;BANCO DE DADOS 1;1;2;1;N
37;55;4;IF64B;ANALISE DE ALGORITMOS;1;1;1;N
38;55;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;1;2;1;N
39;55;5;IF65B;BANCO DE DADOS 2;1;2;1;N
40;55;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;1;1;1;N
41;55;5;IF65D;ARQUITETURA DE COMPUTADORES;1;2;1;N
42;55;6;IF66A;COMPILADORES;1;2;1;N
43;55;6;IF66B;ENGENHARIA DE SOFTWARE;1;2;1;N
44;55;6;IF66C;SISTEMAS OPERACIONAIS;1;2;1;N
45;55;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;1;2;1;N
46;55;7;IF67B;INTELIGENCIA ARTIFICIAL;1;2;1;N
47;55;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;1;2;1;N
48;55;7;IF67D;REDES DE COMPUTADORES;1;2;1;N
49;55;8;IF68B;PROGRAMAÇÃO PARA WEB;1;2;1;N
50;55;8;IF68C;SISTEMAS DISTRIBUIDOS;1;2;1;N
51;55;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;1;2;1;N
52;55;8;IF69I;PROGRAMAÇÃO PARA APLICAÇÕES COMERCIAIS;1;2;1;N
60;65;2;ES64A;SOCIEDADE E POLITICA NO BRASIL;0;2;0;I
61;65;3;ES63A;TECNOLOGIA E SOCIEDADE;0;2;0;I
62;65;4;ES34A;FILOSOFIA DA CIENCIA E DA TECNOLOGIA;0;2;0;I
63;65;1;FI61A;FISICA 1;0;3;0;I
64;65;1;IF61A;INTRODUÇÃO A ENGENHARIA DE COMPUTAÇÃO;0;2;0;I
65;65;1;IF61B;ALGORITMOS;0;3;0;I
66;65;1;IF61C;LOGICA PARA COMPUTAÇÃO;0;2;0;I
67;65;2;IF62A;TECNICAS DE PROGRAMAÇÃO;0;2;0;I
68;65;3;IF63A;ESTRUTURA DE DADOS;0;1;0;I
69;65;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;0;2;0;I
70;65;4;IF64A;BANCO DE DADOS 1;0;2;0;I
71;65;4;IF64B;ANALISE DE ALGORITMOS;0;2;0;I
72;65;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;0;3;0;I
73;65;4;MA64B;MATEMATICA DISCRETA;0;4;0;I
74;65;5;ET65A;ELETRONICA GERAL 1;0;2;0;I
75;65;5;IF65A;TEORIA DA COMPUTAÇÃO;0;2;0;I
76;65;5;IF65B;BANCO DE DADOS 2;0;2;0;I
77;65;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;0;2;0;I
78;65;5;IF65D;ARQUITETURA DE COMPUTADORES;0;2;0;I
79;65;5;IF65E;ELETRONICA DIGITAL;0;2;0;I
80;65;5;IF65F;TRANSMISSÃO DE DADOS;0;2;0;I
81;65;6;IF66A;COMPILADORES;0;2;0;I
82;65;6;IF66B;ENGENHARIA DE SOFTWARE;0;2;0;I
83;65;6;IF66C;SISTEMAS OPERACIONAIS;0;2;0;I
84;65;6;IF66D;SISTEMAS MICROCONTROLADOS;0;2;0;I
85;65;6;IF66E;SISTEMAS DE CONTROLE;0;2;0;I
86;65;6;IF66F;ELETRONICA GERAL 2;0;4;0;I
87;65;6;IF66G;OFICINA DE INTEGRAÇÃO 1;0;1;0;I
88;65;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;0;2;0;I
89;65;7;IF67B;INTELIGENCIA ARTIFICIAL;0;2;0;I
90;65;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;0;2;0;I
91;65;7;IF67D;REDES DE COMPUTADORES;0;2;0;I
92;65;7;IF67E;LOGICA RECONFIGURAVEL;0;2;0;I
93;65;7;IF67F;PROCESSAMENTO DIGITAL DE SINAIS;0;2;0;I
94;65;7;IF67G;OFICINA DE INTEGRAÇÃO 2;0;1;0;I
95;65;8;IF68B;PROGRAMAÇÃO PARA WEB;0;2;0;I
96;65;8;IF68C;SISTEMAS DISTRIBUIDOS;0;2;0;I
97;65;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;0;2;0;I
98;65;8;IF68E;SISTEMAS EMBARCADOS;0;2;0;I
99;65;8;IF68X;Desenvolvimento de Jogos;0;2;0;I
100;65;8;IF68Z;Game Design;0;2;0;I
113;65;1;MA61A;CALCULO DIFERENCIAL E INTEGRAL 1;0;6;0;I
114;65;1;MA61B;GEOMETRIA ANALITICA E ALGEBRA LINEAR;0;6;0;I
115;65;2;CE61A;COMUNICAÇÃO ORAL E ESCRITA;0;2;0;I
116;65;2;DE62A;DESENHO TECNICO;0;1;0;I
117;65;2;ES62B;CIENCIAS DO AMBIENTE;0;2;0;I
118;65;2;FI62A;FISICA 2;0;3;0;I
119;65;2;MA62A;CALCULO DIFERENCIAL E INTEGRAL 2;0;4;0;I
120;65;2;QB62A;QUIMICA;0;4;0;I
121;65;3;ET63A;ELETRICIDADE E MAGNETISMO;0;3;0;I
122;65;3;MA63A;CALCULO DIFERENCIAL E INTEGRAL 3;0;4;0;I
123;65;3;MA63B;EQUAÇÕES DIFERENCIAIS;0;4;0;I
124;65;3;MA63C;PROBABILIDADE E ESTATISTICA;0;4;0;I
125;65;3;ME63A;FENOMENOS DE TRANSPORTE;0;1;0;I
126;65;4;CE64A;METODOLOGIA DA PESQUISA;0;2;0;I
127;65;4;MA64A;METODOS DE MATEMATICA APLICADA;0;4;0;I
128;65;4;ME64A;MECANICA GERAL 1;0;4;0;I
129;65;5;ME65A;PRINCIPIOS DE RESISTENCIA DOS MATERIAIS;0;2;0;I
130;65;7;GE67A;EMPREENDEDORISMO;0;2;0;I
131;65;8;GE68A;GESTÃO EMPRESARIAL;0;2;0;I
132;65;8;GE68B;ECONOMIA;0;2;0;I
133;65;1;IF61B;ALGORITMOS;1;3;1;I
134;65;1;IF61C;LOGICA PARA COMPUTAÇÃO;1;2;1;I
135;65;2;IF62A;TECNICAS DE PROGRAMAÇÃO;1;2;1;I
136;65;3;IF63A;ESTRUTURA DE DADOS;1;2;1;I
137;65;3;IF63B;PROGRAMAÇÃO ORIENTADA A OBJETOS;1;2;1;I
138;65;4;IF64A;BANCO DE DADOS 1;1;2;1;I
139;65;4;IF64B;ANALISE DE ALGORITMOS;1;1;1;I
140;65;5;IF65A;TEORIA DA COMPUTAÇÃO;1;1;1;I
141;65;5;IF65B;BANCO DE DADOS 2;1;2;1;I
142;65;5;IF65C;ANALISE E PROJETO ORIENTADO A OBJETOS;1;1;1;I
143;65;5;IF65D;ARQUITETURA DE COMPUTADORES;1;2;1;I
144;65;6;IF66A;COMPILADORES;1;2;1;I
145;65;6;IF66B;ENGENHARIA DE SOFTWARE;1;2;1;I
146;65;6;IF66C;SISTEMAS OPERACIONAIS;1;2;1;I
147;65;6;IF66D;SISTEMAS MICROCONTROLADOS;1;2;1;I
148;65;6;IF66E;SISTEMAS DE CONTROLE;1;2;1;I
149;65;6;IF66G;OFICINA DE INTEGRAÇÃO 1;1;2;1;I
150;65;7;IF67A;INTERAÇÃO HOMEM-COMPUTADOR;1;2;1;I
151;65;7;IF67B;INTELIGENCIA ARTIFICIAL;1;2;1;I
152;65;7;IF67C;GERENCIAMENTO DE PROJETO DE SOFTWARE;1;2;1;I
153;65;7;IF67D;REDES DE COMPUTADORES;1;2;1;I
154;65;7;IF67E;LOGICA RECONFIGURAVEL;1;2;1;I
155;65;7;IF67G;OFICINA DE INTEGRAÇÃO 2;1;2;1;I
156;65;8;IF68B;PROGRAMAÇÃO PARA WEB;1;2;1;I
157;65;8;IF68C;SISTEMAS DISTRIBUIDOS;1;2;1;I
158;65;8;IF68D;SEGURANÇA E AUDITORIA DE SISTEMAS;1;2;1;I
159;65;8;IF68E;SISTEMAS EMBARCADOS;1;2;1;I
160;65;8;IF68X;Desenvolvimento de Jogos;1;2;1;I
161;65;8;IF68Z;Game Design;1;2;1;I
174;65;1;FI61A;FISICA 1;1;2;2;I
175;65;2;FI62A;FISICA 2;1;2;2;I
176;65;3;ME63A;FENOMENOS DE TRANSPORTE;1;1;2;I
177;65;5;ME65A;PRINCIPIOS DE RESISTENCIA DOS MATERIAIS;1;1;2;I
178;65;3;ET63A;ELETRICIDADE E MAGNETISMO;1;2;3;I
179;65;2;QB62A;QUIMICA;1;2;4;I
180;65;2;DE62A;DESENHO TECNICO;1;2;5;I
181;65;4;IF64C;ANALISE DE CIRCUITOS ELETRICOS;1;2;6;I
182;65;5;ET65A;ELETRONICA GERAL 1;1;1;6;I
183;65;6;IF66F;ELETRONICA GERAL 2;1;2;6;I
184;65;5;IF65E;ELETRONICA DIGITAL;1;3;7;I
185;65;5;IF65F;TRANSMISSÃO DE DADOS;1;2;8;I
186;65;7;IF67F;PROCESSAMENTO DIGITAL DE SINAIS;1;2;8;I
